"Date","Tournament","TMN","Rnd","Win","Los","Score","Pts_W","Pts_L","Drop_date","Surface"
"1970-01-01","Test Open",0,2,0,0,"6-2 6-2",100,5,"1971-01-10","Hard"
"1996-01-11","Cape Town",0,2,2,4,"6-2 6-7 7-5",65,2,"1997-01-10","Hard"
"1996-01-11","Cape Town",0,2,3,1,"2-6 6-1 7-6",65,2,"1997-01-10","Hard"
"1996-01-12","Cape Town",0,1,2,3,"6-3 7-6 0-0",130,0,"1997-01-11","Hard"
"1996-01-12","Hobart",0,2,2,1,"6-3 4-6 6-2",52,4,"1997-01-11","Hard"
"1996-01-12","Hobart",0,2,3,4,"3-6 6-2 6-1",52,4,"1997-01-11","Hard"
"1996-01-13","Hobart",0,1,2,3,"7-6 6-3 0-0",104,0,"1997-01-12","Hard"
"1996-01-23","Australian Open",0,4,7,6,"6-3 6-3 2-6 6-2 0-0",130,10,"1997-01-22","Hard"
"1996-01-23","Australian Open",0,4,1,4,"6-3 4-6 6-2 4-6 6-2",130,20,"1997-01-22","Hard"
"1996-01-23","Australian Open",0,4,2,8,"6-4 1-6 6-2 5-7 7-5",130,20,"1997-01-22","Hard"
"1996-01-23","Australian Open",0,4,3,5,"6-3 5-7 5-7 6-2 6-2",130,20,"1997-01-22","Hard"
"1996-01-24","Australian Open",0,2,7,1,"6-4 3-6 6-2 6-1 0-0",260,20,"1997-01-23","Hard"
"1996-01-24","Australian Open",0,2,2,3,"7-6 6-2 6-2 0-0 0-0",260,0,"1997-01-23","Hard"
"1996-01-25","Australian Open",0,1,2,7,"6-7 1-6 6-1 6-4 6-3",520,80,"1997-01-24","Hard"
"1996-01-26","Perth",0,4,8,22,"3-6 7-6 6-2",26,2,"1997-01-25","Hard"
"1996-01-26","Perth",0,4,16,20,"6-3 6-2 0-0",26,0,"1997-01-25","Hard"
"1996-01-26","Perth",0,4,6,18,"7-6 6-2 0-0",26,0,"1997-01-25","Hard"
"1996-01-26","Perth",0,4,1,11,"6-2 2-6 6-3",26,2,"1997-01-25","Hard"
"1996-01-27","Perth",0,2,8,16,"6-2 6-7 6-3",52,4,"1997-01-26","Hard"
"1996-01-27","Perth",0,2,1,6,"7-5 2-6 6-4",52,4,"1997-01-26","Hard"
"1996-01-28","Perth",0,1,8,1,"7-5 5-7 6-4",104,8,"1997-01-27","Hard"
"1996-01-25","Zagreb",0,4,3,21,"7-6 6-1 0-0",26,0,"1997-01-21","Hard"
"1996-01-25","Zagreb",0,4,10,13,"6-1 6-3 0-0",26,0,"1997-01-21","Hard"
"1996-01-25","Zagreb",0,4,9,25,"6-3 6-3 0-0",26,0,"1997-01-21","Hard"
"1996-01-25","Zagreb",0,4,23,15,"3-6 6-3 6-3",26,2,"1997-01-21","Hard"
"1996-01-26","Zagreb",0,2,3,10,"6-2 6-1 0-0",52,0,"1997-01-25","Hard"
"1996-01-26","Zagreb",0,2,9,23,"7-6 6-4 0-0",52,0,"1997-01-25","Hard"
"1996-01-27","Zagreb",0,1,3,9,"5-7 7-6 6-1",104,8,"1997-01-26","Hard"
"1996-01-25","Shanghai",0,4,4,19,"7-5 7-5 0-0",26,0,"1997-01-24","Hard"
"1996-01-25","Shanghai",0,4,12,24,"6-1 6-0 0-0",26,0,"1997-01-24","Hard"
"1996-01-25","Shanghai",0,4,14,17,"6-3 6-7 6-3",26,2,"1997-01-24","Hard"
"1996-01-25","Shanghai",0,4,5,7,"6-1 7-5 0-0",26,0,"1997-01-24","Hard"
"1996-01-26","Shanghai",0,2,4,12,"5-7 6-1 6-3",52,4,"1997-01-25","Hard"
"1996-01-26","Shanghai",0,2,5,14,"6-3 6-1 0-0",52,0,"1997-01-25","Hard"
"1996-01-27","Shanghai",0,1,4,5,"3-6 6-4 6-4",104,8,"1997-01-26","Hard"
"1996-02-12","Dubai",0,4,12,2,"7-6 5-7 6-3",43,6,"1997-02-11","Hard"
"1996-02-12","Dubai",0,4,27,16,"6-3 6-4 0-0",43,0,"1997-02-11","Hard"
"1996-02-12","Dubai",0,4,9,10,"6-3 7-6 0-0",43,0,"1997-02-11","Hard"
"1996-02-12","Dubai",0,4,14,4,"6-4 4-6 6-3",43,6,"1997-02-11","Hard"
"1996-02-13","Dubai",0,2,27,12,"7-5 0-6 7-6",87,12,"1997-02-12","Hard"
"1996-02-13","Dubai",0,2,14,9,"6-1 7-6 0-0",87,0,"1997-02-12","Hard"
"1996-02-14","Dubai",0,1,27,14,"6-4 7-6 0-0",173,0,"1997-02-13","Hard"
"1996-02-12","San Jose",0,4,1,19,"6-2 6-3 0-0",26,0,"1997-02-11","Hard"
"1996-02-12","San Jose",0,4,11,21,"6-0 6-2 0-0",26,0,"1997-02-11","Hard"
"1996-02-12","San Jose",0,4,30,22,"7-5 7-5 0-0",26,0,"1997-02-11","Hard"
"1996-02-12","San Jose",0,4,6,8,"6-1 6-2 0-0",26,0,"1997-02-11","Hard"
"1996-02-13","San Jose",0,2,1,11,"6-3 6-2 0-0",52,0,"1997-02-12","Hard"
"1996-02-13","San Jose",0,2,6,30,"6-3 6-1 0-0",52,0,"1997-02-12","Hard"
"1996-02-14","San Jose",0,1,6,1,"7-6 6-3 0-0",104,0,"1997-02-13","Hard"
"1996-02-12","Marseille",0,4,7,23,"6-4 7-5 0-0",26,0,"1997-02-11","Hard"
